TIME,ACC4,ACC3,ACC2,ACC1,ROOT
589,7636800,16512,0,0,0
590,7653312,16512,0,0,0
591,7669824,16512,0,0,0
592,7686336,16512,0,0,0
593,7702848,16512,0,0,0
594,7719360,16512,0,0,0
595,7735872,16512,0,0,0
596,7752384,16512,0,0,0
597,7768896,16512,0,0,0
598,7785408,16512,0,0,0
599,7801920,16512,0,0,0
600,7818432,16512,0,0,0
601,7834944,16512,0,0,0
602,7851456,16512,0,0,0
603,7867968,16512,0,0,0
604,7884480,16512,0,0,0
605,7900992,16512,0,0,0
606,7917504,16512,0,0,0
607,7934016,16512,0,0,0
608,7950528,16512,0,0,0
609,7967040,16512,0,0,0
610,7983552,16512,0,0,0
611,8000064,16512,0,0,0
612,8016576,16512,0,0,0
613,8033088,16512,0,0,0
614,8049600,16512,0,0,0
615,8066112,16512,0,0,0
616,8082624,16512,0,0,0
617,8099136,16512,0,0,0
618,8115648,16512,0,0,0
619,8132160,16512,0,0,0
620,8148672,16512,0,0,0
621,8165184,16512,0,0,0
622,8181696,16512,0,0,0
623,8198208,16512,0,0,0
624,8214720,16512,0,0,0
625,8231232,16512,0,0,0
626,8247744,16512,0,0,0
627,8264256,16512,0,0,0
628,8280768,16512,0,0,0
629,8297280,16512,0,0,0
630,8313792,16512,0,0,0
631,8330304,16512,0,0,0
632,8346816,16512,0,0,0
633,8363328,16512,0,0,0
634,8379840,16512,0,0,0
635,8396352,16512,0,0,0
636,8412864,16512,0,0,0
637,8429376,16512,0,0,0
638,8445888,16512,0,0,0
639,8462400,16512,0,0,0
640,8478912,16512,0,0,0
641,8495424,16512,0,0,0
642,8511936,16512,0,0,0
643,8528448,16512,0,0,0
644,8544960,16512,0,0,0
645,8561472,16512,0,0,0
646,8577984,16512,0,0,0
647,8594496,16512,0,0,0
648,8611008,16512,0,0,0
649,8627520,16512,0,0,0
650,8644032,16512,0,0,0
651,8660544,16512,0,0,0
652,8677056,16512,0,0,0
653,8693568,16512,0,0,0
654,8710080,16512,0,0,0
655,8726592,16512,0,0,0
656,8743104,16512,0,0,0
657,8759616,16512,0,0,0
658,8776128,16512,0,0,0
659,8792640,16512,0,0,0
660,8809152,16512,0,0,0
661,8825664,16512,0,0,0
662,8842176,16512,0,0,0
663,8858688,16512,0,0,0
664,8875200,16512,0,0,0
665,8891712,16512,0,0,0
666,8908224,16512,0,0,0
667,8924736,16512,0,0,0
668,8941248,16512,0,0,0
669,8957760,16512,0,0,0
670,8974272,16512,0,0,0
671,8990784,16512,0,0,0
672,9007296,16512,0,0,0
673,9023808,16512,0,0,0
674,9040320,16512,0,0,0
675,9056832,16512,0,0,0
676,9073344,16512,0,0,0
677,9089856,16512,0,0,0
